User Name,Sex,Comments,Likes,Replies
方山厨子,保密,但其实这门课挺难讲的，很容易就变成老生常谈讲大道理念PPT，而且还都是知识碎片，有点难深入。有在很努力的备课，想办法如何在有用的同时还能有趣，准备找一些生动的案例、影视剧片段，甚至也有在考虑比如做饭片段带上卡式炉去教室同学们直接上手体验，挑选瓜果蔬菜请个水果店员工分享……好难但是一想到能帮助到大家也很快乐[爱心],3005,直接按照毕业后找工作独自生活的流程来呗，从离开家门收拾行李开始，买票，上车，找工作，租房，买菜，做饭，收拾搞卫生，和模拟人生流程一样来
方山厨子,保密,但其实这门课挺难讲的，很容易就变成老生常谈讲大道理念PPT，而且还都是知识碎片，有点难深入。有在很努力的备课，想办法如何在有用的同时还能有趣，准备找一些生动的案例、影视剧片段，甚至也有在考虑比如做饭片段带上卡式炉去教室同学们直接上手体验，挑选瓜果蔬菜请个水果店员工分享……好难但是一想到能帮助到大家也很快乐[爱心],3005,厨子老师这个课一旦推出来我感觉会成为影响全国无数大学生的相当重要的一门课，完全不亚于自己的专业课的重要性[打call][打call]所以真的求个网课不管是在什么平台[大哭]
上汽大众,保密,建议日常生活章节里增加一个“如何驾驶各类交通工具”，包括驾驶资格、安全驾驶的基本说明、驯服技巧什么的（bushi [支持][支持],2467,这一部分得你来讲，更专业！
_-皮皮怪-_,男,我觉得大学这个概念对于不少大学生来说有些笼统了，寒窗苦读三年之后依靠三四年的时间步入社会，这本来应是比较充裕的时间，但很多本科教育体系并没有充分利用好这四年，只相对机械地延续了高中的部分体系然后比较生硬地过度到专业课，再到实习毕业，其中学生并没有多少主观能动性，这点反而不如一些大专院校，也是很多大学生就业方向与专业基本无关的原因。,643,没错，现在很多大学的教育体系真的太鸡肋了，四年时间其实很多，但学生按部就班的话很容易毕业后啥也不是。所以说大学也是分水岭，主观能动性强的人真的能自己学到很多东西
奔奔的妹妹,保密,支持老师，想看网课,2022,
寐鱼在路上,保密,"社保真的很重要，这个真的要重点说，我是毕业以后好几年才搞懂，真的吃了大亏，我说一下我的理解思路：

说起“社保”，我们经常会提到“五险一金”，但是“社保并不完全等于五险一金”,首先可以和学生明确一点：社保分为“每个月都要交”和“一年只交一次的”。社保可以分为“职工社保（每个月都要给钱）”和“居民社保（一年只给一次钱）”或者分为“有公司/单位帮你交”和“没有公司/单位帮你交”，我们经常说的“五险一金”通常说的是有公司/单位给你交这种情况，但是不要忽略了还有“暂时没有工作”、“自由职业”、“有工作但是工作的地方不给你交社保”等情况，这些人就需要自己交社保，可以交“居民社保(包括居民医保+居民养老保险，没有生育失业工伤)”或者“以灵活就业人员的身份自己购买社保（它的本质还是职工社保，但是自己交只能交医疗+养老，没有生育失业工伤）。

总之，有公司给帮你买，就是五险一金/五险（有些地方是不帮你买公积金的）都买齐，自己掏钱的话，只有医疗和养老。
住房公积金我不了解，就不说了，有什么不懂的可以打当地的社保咨询电话。

我之前看到的这个视频讲得挺清楚的，可以参考一下：【职场必修课：五险一金的那些事儿】 https://www.bilibili.com/video/BV1xZ421N7x6/?share_source=copy_web&vd_source=f0ba8741e542f3e595fe340198893b13

视频里分出来的“新农合”，根据我查到的资料，是农村户口才能办理，属于医疗保险，不太了解，不赘述。
生活中有些人会用“医保”来代指“社保”，所以有的人分不清“医保社保”到底是什么关系觉得很乱，实际上医保是社保里面的其中一个分类。

我觉得还有一点要注意的是，有些学生如果将来有“以应届生身份考编”的打算，我在我们这边看到的说法是（就目前来说），只要交了社保就不算应届生身份了，就不能报考应届生的岗位，不同地区可能不一样，以后也不知道会不会变，这个最好自己去了解清楚（百度，网上找一些经验分享，咨询考公机构，或者直接打公告的咨询电话问）",883,国家现在出台了新规定，就是毕业几年内（我忘了），不论交没交社保，都算应届毕业生
四禾巳,保密,还有很多知识盲区，例如简单点的维修（我只会重启大法和遇到什么问题多切几个软件查），如何享受应有的权益例如医保商保，保修期内的产品报修流程（我每次都急用自己花钱修[笑哭]），还有我们常见的问题应该找什么部门（例如所有快递都可以在邮政投诉，特殊身份认定找民政之类的）,136,
哔哔哔哔蹦哗,女,我觉得大学生还很需要一门入门课讲清楚大学绩点、保研、考研、竞赛、期刊、留学、考公、考编、社保等等这些内容[OK][OK]能让很多人对未来少一些迷茫,4884,这个很难讲透，因为每个学校方式都不同，很容易就讲的大而空宽而泛，最好的方法还是问自己学校的师兄师姐
哔哔哔哔蹦哗,女,我觉得大学生还很需要一门入门课讲清楚大学绩点、保研、考研、竞赛、期刊、留学、考公、考编、社保等等这些内容[OK][OK]能让很多人对未来少一些迷茫,4884,同意，这些也很重要关乎个人生涯，很多都是找学姐学长才知道的一些途径[大哭]
雨中之苗,女,非常需要，希望老师好好讲一下医保及异地医保的使用方式及不同点（我暑假因为这个花了好大一笔冤枉钱）、常见病症该挂什么科（我到现在都不知道过敏该挂什么科）[笑哭]，还有去药店买药怎么区分店员是真的想治好你还是想宰你一笔，毕竟药挺贵的[微笑],4272,另，如果没有上述两个科室的话，如果你过敏是眼睛痒就去眼科，皮肤起风团或者红肿瘙痒就去皮肤科，喉头发紧去挂急诊呼吸科，因为过敏引起的气短症状不做控制可能会致命
